1,157.25.5.193,157.25.5.193,9.249,52.2394,21.0362
2,157.25.3.169,157.25.3.169,9.769,52.2394,21.0362
3,plwaw3-so-5-0-0-0.net.ipartners.pl,157.25.3.97,9.782,52.2394,21.0362
4,fra-tr1-p0-1-1.gtsce.net,195.39.208.69,29.785,46,25
5,t2a4-ge5-0.de-fra.eu.bt.net,166.49.147.133,34.958,51.5142,-0.0931
6,t2c2-ge6-1.de-fra.eu.bt.net,166.49.172.122,35.007,51.5142,-0.0931
7,t2a7-ge7-0-0.de-fra.eu.bt.net,166.49.172.102,26.932,51.5142,-0.0931
8,de-cix10.net.google.com,80.81.192.108,25.339,50.1167,8.6833
9,209.85.249.180,209.85.249.180,25.343,37.751,-97.822
10,72.14.238.119,72.14.238.119,33.393,37.4192,-122.0574
11,72.14.233.62,72.14.233.62,44.520,37.4192,-122.0574
12,72.14.236.214,72.14.236.214,128.555,37.4192,-122.0574
13,216.239.46.227,216.239.46.227,128.820,37.3688,-122.0363
14,72.14.232.96,72.14.232.96,177.544,37.4192,-122.0574
15,66.249.95.210,66.249.95.210,181.642,37.4192,-122.0574
16,72.14.239.12,72.14.239.12,180.799,37.4192,-122.0574
17,216.239.46.203,216.239.46.203,191.112,37.3688,-122.0363
18,216.239.47.50,216.239.47.50,191.632,37.3688,-122.0363
19,po-in-f104.google.com,72.14.253.104,194.010,41.2307,-96.1178
