1,157.25.5.193,157.25.5.193,4.336,52.2394,21.0362
2,157.25.3.169,157.25.3.169,9.765,52.2394,21.0362
3,plwaw3-so-5-0-0-0.net.ipartners.pl,157.25.3.97,9.787,52.2394,21.0362
4,217.6.48.137,217.6.48.137,108.225,51.2993,9.491
5,was-e4.WAS.US.net.DTAG.DE,62.154.15.38,115.284,51.2993,9.491
6,so0-0-0-2488m.ar1.DCA3.gblx.net,208.51.74.17,117.741,35.2271,-80.8432
7,te2-4-10G.ar1.SNV2.gblx.net,67.17.107.206,184.927,37.751,-97.822
8,INTERNAP.te1-3.ar1.snv2.gblx.net,64.210.28.142,184.094,37.751,-97.822
9,border2.pc2-0-bbnet2.sje.pnap.net,66.151.144.69,347.974,37.751,-97.822
10,*,*,*,,
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
