1,157.25.5.193,157.25.5.193,4.376,52.2394,21.0362
2,157.25.3.169,157.25.3.169,9.732,52.2394,21.0362
3,plwaw3-so-5-0-0-0.net.ipartners.pl,157.25.3.97,9.747,52.2394,21.0362
4,fra-tr1-p0-1-1.gtsce.net,195.39.208.69,29.740,46,25
5,sl-gw10-fra-4-0.sprintlink.net,217.147.111.113,26.450,51.2993,9.491
6,217.147.96.37,217.147.96.37,26.331,51.2993,9.491
7,213.206.131.66,213.206.131.66,105.756,51.4964,-0.1224
8,te1-2-10G.ar2.SJC2.gblx.net,67.17.109.106,180.466,37.751,-97.822
9,*,*,*,,
10,*,*,*,,
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
