1,FE-3-0-100M-CORE,202.59.80.2,0.893,30,70
2,10.10.80.1,10.10.80.1,1.789,0,0
3,117.20.21.21,117.20.21.21,2.082,24.9056,67.0822
4,221.132.112.213,221.132.112.213,21.565,24.9056,67.0822
5,pal6-transworld-2.pal.seabone.net,195.22.218.109,118.960,43.1479,12.1097
6,decix-fra1-racc2.fra.seabone.net,195.22.211.221,183.827,43.1479,12.1097
7,global-crossing-2-decix.fra.seabone.net,89.221.34.50,184.694,43.1479,12.1097
8,INTERNAP.te1-3.ar1.snv2.gblx.net,64.210.28.142,343.915,37.751,-97.822
9,border2.pc1-0-bbnet1.sje.pnap.net,66.151.144.5,345.563,37.751,-97.822
10,*,*,*,,
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
