1,FE-3-0-100M-CORE,202.59.80.2,0.783,30,70
2,10.10.80.1,10.10.80.1,1.663,0,0
3,117.20.21.21,117.20.21.21,2.043,24.9056,67.0822
4,221.132.112.213,221.132.112.213,21.747,24.9056,67.0822
5,pal6-transworld-2.pal.seabone.net,195.22.218.109,118.126,43.1479,12.1097
6,pao1-chi1-racc1.pao.seabone.net,195.22.206.244,311.165,43.1479,12.1097
7,pao1-chi1-racc1.pao.seabone.net,195.22.206.244,311.492,43.1479,12.1097
8,china-telecom-1-cn-pao1.pao.seabone.net,195.22.206.154,324.340,43.1479,12.1097
9,202.97.49.194,202.97.49.194,323.514,34.7725,113.7266
10,202.97.51.181,202.97.51.181,*,34.7725,113.7266
11,202.97.33.13,202.97.33.13,495.197,34.7725,113.7266
12,61.152.86.17,61.152.86.17,*,31.0456,121.3997
13,61.152.87.158,61.152.87.158,496.590,31.0456,121.3997
14,222.72.243.242,222.72.243.242,*,31.0456,121.3997
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
