1,FE-3-0-100M-CORE,202.59.80.2,0.942,30,70
2,10.10.80.1,10.10.80.1,1.606,0,0
3,117.20.21.21,117.20.21.21,2.228,24.9056,67.0822
4,221.132.112.213,221.132.112.213,22.103,24.9056,67.0822
5,pal6-transworld-1.pal.seabone.net,195.22.218.105,119.638,43.1479,12.1097
6,ash2-new2-racc1.new.seabone.net,195.22.216.227,238.879,43.1479,12.1097
7,microsoft-1-us-ash2.ash.seabone.net,195.22.206.22,327.307,43.1479,12.1097
8,ge-7-3-0-56.ash-64cb-1a.ntwk.msn.net,207.46.41.49,334.584,47.6801,-122.1206
9,ge-7-0-0-0.ash-64cb-1a.ntwk.msn.net,207.46.41.45,359.301,47.6801,-122.1206
10,so-1-0-0-0.sjc-64cb-1b.ntwk.msn.net,207.46.45.1,327.799,47.6801,-122.1206
11,ge-0-1-0-0.by2-64c-1b.ntwk.msn.net,207.46.38.13,330.943,47.6801,-122.1206
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
