1,FE-3-0-100M-CORE,202.59.80.2,4.190,30,70
2,10.10.80.1,10.10.80.1,5.122,0,0
3,117.20.21.21,117.20.21.21,3.158,24.9056,67.0822
4,221.132.112.213,221.132.112.213,23.080,24.9056,67.0822
5,pal6-transworld-1.pal.seabone.net,195.22.218.105,119.714,43.1479,12.1097
6,ash2-new2-racc1.new.seabone.net,195.22.216.227,239.671,43.1479,12.1097
7,microsoft-1-us-ash2.ash.seabone.net,195.22.206.22,328.533,43.1479,12.1097
8,ge-0-3-0-57.ash-64cb-1b.ntwk.msn.net,207.46.41.57,328.555,47.6801,-122.1206
9,so-7-2-0-0.tuk-64cb-1a.ntwk.msn.net,207.46.34.53,333.591,47.6801,-122.1206
10,ge-0-0-0-0.tuk-64cb-1b.ntwk.msn.net,207.46.41.74,335.913,47.6801,-122.1206
11,ge-6-1-0-0.tuk-64cb-1b.ntwk.msn.net,207.46.35.33,340.554,47.6801,-122.1206
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
