1,FE-3-0-100M-CORE,202.59.80.2,1.315,30,70
2,10.10.80.1,10.10.80.1,1.723,0,0
3,117.20.21.21,117.20.21.21,3.057,24.9056,67.0822
4,221.132.112.213,221.132.112.213,21.905,24.9056,67.0822
5,pal6-transworld-2.pal.seabone.net,195.22.218.109,119.065,43.1479,12.1097
6,ash2-new2-racc1.new.seabone.net,195.22.216.227,240.019,43.1479,12.1097
7,g2-12-bas2.dce.yahoo.com,206.223.115.2,240.801,37.5331,-122.2471
8,so-0-0-0.pat2.pao.yahoo.com,216.115.101.130,309.329,37.4249,-122.0074
9,g-1-0-0-p141.msr1.sp1.yahoo.com,216.115.107.55,311.636,37.4249,-122.0074
10,te-8-1.bas-a1.sp1.yahoo.com,209.131.32.17,309.347,37.4249,-122.0074
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
