1,Vlan154.DEL-ISP-COR-SWH-002.mantraonline.com,61.95.250.140,0.460,28.6,77.2
2,202.56.223.213,202.56.223.213,39.718,28.6,77.2
3,202.56.223.17,202.56.223.17,39.714,28.6,77.2
4,125.21.167.153,125.21.167.153,41.114,28.6,77.2
5,203.208.190.65,203.208.190.65,120.340,1.2855,103.8565
6,ge-0-1-0-0.sngtp-dr1.ix.singtel.com,203.208.149.158,71.493,1.2855,103.8565
7,ge-0-0-0-0.sngtp-ar3.ix.singtel.com,203.208.182.2,80.917,1.2855,103.8565
8,203.208.151.26,203.208.151.26,141.716,1.2855,103.8565
9,219.158.3.225,219.158.3.225,138.774,34.7725,113.7266
10,219.158.4.69,219.158.4.69,156.865,34.7725,113.7266
11,202.96.12.62,202.96.12.62,157.109,39.9289,116.3883
12,61.148.3.58,61.148.3.58,159.521,39.9289,116.3883
13,202.106.48.18,202.106.48.18,199.730,39.9289,116.3883
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
