1,Vlan154.DEL-ISP-COR-SWH-002.mantraonline.com,61.95.250.140,0.400,28.6,77.2
2,202.56.223.213,202.56.223.213,37.075,28.6,77.2
3,59.145.6.29,59.145.6.29,37.095,28.6,77.2
4,125.21.167.153,125.21.167.153,37.000,28.6,77.2
5,so-6-2.core2.LosAngeles1.Level3.net,4.78.198.17,254.161,37.751,-97.822
6,ae-23-52.car3.LosAngeles1.Level3.net,4.68.102.46,254.987,37.751,-97.822
7,ve201.lax.myspace.com,4.71.32.22,254.657,37.5297,-122.0402
8,vl341.cs1.lax1.myspace.com,204.16.35.133,254.546,34.0995,-118.4143
9,vl3551.cs1.els2.myspace.com,216.178.35.73,255.024,34.538,-118.4032
10,*,*,*,,
11,vl3551.cs1.els2.myspace.com,216.178.35.73,254.845,34.538,-118.4032
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,vl3551.cs1.els2.myspace.com,216.178.35.73,*,34.538,-118.4032
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
