1,Vlan154.DEL-ISP-COR-SWH-002.mantraonline.com,61.95.250.140,0.470,28.6,77.2
2,59.145.7.38,59.145.7.38,36.806,28.6,77.2
3,202.56.223.17,202.56.223.17,36.982,28.6,77.2
4,125.21.167.153,125.21.167.153,36.911,28.6,77.2
5,203.208.190.65,203.208.190.65,68.795,1.2855,103.8565
6,ge-1-1-0-0.sngtp-dr1.ix.singtel.com,203.208.149.166,68.910,1.2855,103.8565
7,GigabitEthernet6-1.sngtp-ar2.ix.singtel.com,203.208.149.61,68.446,1.2855,103.8565
8,POS11-0-0.shaap-cr1.ix.singtel.com,203.208.146.77,201.033,1.2855,103.8565
9,202.97.4.117,202.97.4.117,362.273,34.7725,113.7266
10,202.97.33.169,202.97.33.169,327.942,34.7725,113.7266
11,202.97.33.25,202.97.33.25,370.747,34.7725,113.7266
12,61.152.86.21,61.152.86.21,315.901,31.0456,121.3997
13,61.152.87.158,61.152.87.158,327.600,31.0456,121.3997
14,222.72.243.254,222.72.243.254,329.277,31.0456,121.3997
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
