1,Vlan154.DEL-ISP-COR-SWH-002.mantraonline.com,61.95.250.140,0.951,28.6,77.2
2,202.56.223.213,202.56.223.213,37.025,28.6,77.2
3,59.145.6.29,59.145.6.29,37.868,28.6,77.2
4,125.21.167.153,125.21.167.153,37.060,28.6,77.2
5,p4-3-1-0.r02.lsanca03.us.bb.gin.ntt.net,204.1.253.65,254.855,39.6237,-104.8738
6,p16-0-2-3.r20.lsanca03.us.bb.gin.ntt.net,129.250.3.156,254.652,39.6237,-104.8738
7,as-0.r21.snjsca04.us.bb.gin.ntt.net,129.250.4.96,264.701,39.6237,-104.8738
8,ae-0.r20.plalca01.us.bb.gin.ntt.net,129.250.4.118,265.537,39.6237,-104.8738
9,so7-0-0-2488M.ar2.PAO2.gblx.net,208.50.13.97,263.127,37.751,-97.822
10,te1-2-10G.ar2.SJC2.gblx.net,67.17.109.106,263.869,37.751,-97.822
11,yahoo-5.ar2.SJC2.gblx.net,64.215.195.98,265.146,44.1858,-88.4626
12,g-1-0-0-p160.msr1.sp1.yahoo.com,216.115.107.61,266.599,37.4249,-122.0074
13,te-8-1.bas-a1.sp1.yahoo.com,209.131.32.17,266.102,37.4249,-122.0074
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
