1,Vlan154.DEL-ISP-COR-SWH-002.mantraonline.com,61.95.250.140,0.669,28.6,77.2
2,POS2-0.CHN-ISP-COR-RTR-044.mantraonline.com,61.95.176.65,33.866,28.6,77.2
3,202.56.223.17,202.56.223.17,33.919,28.6,77.2
4,12.118.94.81,12.118.94.81,291.806,37.751,-97.822
5,tbr1.n54ny.ip.att.net,12.122.82.146,298.463,37.751,-97.822
6,cr1.n54ny.ip.att.net,12.122.16.161,298.143,37.751,-97.822
7,cr1.cgcil.ip.att.net,12.122.1.190,295.833,37.751,-97.822
8,tbr1.cgcil.ip.att.net,12.122.17.130,297.359,37.751,-97.822
9,tbr1.sffca.ip.att.net,12.122.10.6,297.306,37.751,-97.822
10,gar2.sn1ca.ip.att.net,12.122.81.101,296.638,37.751,-97.822
11,12.126.40.6,12.126.40.6,293.435,34.0544,-118.244
12,ge-7-3-0-56.sjc-64cb-1a.ntwk.msn.net,207.46.37.177,293.532,47.6801,-122.1206
13,ge-7-1-0-0.by2-64c-1a.ntwk.msn.net,207.46.33.18,294.296,47.6801,-122.1206
14,ge-1-0-0-0.by2-64c-1b.ntwk.msn.net,207.46.39.86,294.583,47.6801,-122.1206
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
