1,fe0-0.chr01-kent-syd.comindico.com.au,203.220.0.1,0.586,-33.8972,151.1488
2,ge1-10.dls01-kent-syd.comindico.com.au,203.220.112.48,0.994,-37.9181,145.0354
3,13.112.220.203.unassigned.comindico.com.au,203.220.112.13,0.898,-37.9181,145.0354
4,202.139.19.1,202.139.19.1,1.047,-33.494,143.2104
5,203.208.192.241,203.208.192.241,159.287,1.2855,103.8565
6,203.208.168.246,203.208.168.246,159.154,1.2855,103.8565
7,g-1-0-0-p140.msr1.sp1.yahoo.com,216.115.107.53,157.518,37.4249,-122.0074
8,te-8-1.bas-a2.sp1.yahoo.com,209.131.32.19,157.296,37.4249,-122.0074
9,*,*,*,,
10,*,*,*,,
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
