1,fe0-0.chr01-kent-syd.comindico.com.au,203.220.0.1,0.481,-33.8972,151.1488
2,ge1-10.dls01-kent-syd.comindico.com.au,203.220.112.48,0.788,-37.9181,145.0354
3,13.112.220.203.unassigned.comindico.com.au,203.220.112.13,0.422,-37.9181,145.0354
4,202.139.19.1,202.139.19.1,0.749,-33.494,143.2104
5,203.208.191.157,203.208.191.157,154.096,1.2855,103.8565
6,so4-1-0-622M.ar2.PAO2.gblx.net,208.50.13.165,154.569,37.751,-97.822
7,MYSPACE-COM.ge4-1.ar2.LAX2.gblx.net,64.209.93.102,165.387,37.751,-97.822
8,vl342.cs2.lax1.myspace.com,204.16.35.137,162.706,34.0995,-118.4143
9,vl3552.cs2.els2.myspace.com,216.178.35.77,167.527,34.538,-118.4032
10,*,*,*,,
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,vl3552.cs2.els2.myspace.com,216.178.35.77,166.112,34.538,-118.4032
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,vl3552.cs2.els2.myspace.com,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
