1,fe0-0.chr01-kent-syd.comindico.com.au,203.220.0.1,0.792,-33.8972,151.1488
2,ge1-10.dls02-kent-syd.comindico.com.au,203.220.112.176,0.850,-37.9181,145.0354
3,141.112.220.203.unassigned.comindico.com.au,203.220.112.141,1.198,-37.9181,145.0354
4,202.139.19.1,202.139.19.1,0.574,-33.494,143.2104
5,203.208.191.157,203.208.191.157,164.069,1.2855,103.8565
6,ge-0-0-0-0.plapx-dr2.ix.singtel.com,203.208.149.2,154.230,1.2855,103.8565
7,203.208.168.182,203.208.168.182,156.920,1.2855,103.8565
8,ge-0-3-0-44.pao-64cb-1b.ntwk.msn.net,207.46.46.3,154.137,47.6801,-122.1206
9,ge-1-2-0-0.tuk-64cb-1b.ntwk.msn.net,207.46.33.222,174.496,47.6801,-122.1206
10,ten1-2.tuk-76c-1a.ntwk.msn.net,207.46.44.50,174.867,47.6801,-122.1206
11,po14.tuk-65ns-mcs-1a.ntwk.msn.net,207.46.35.134,173.112,47.6801,-122.1206
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
