1,fe0-0.chr01-kent-syd.comindico.com.au,203.220.0.1,0.619,-33.8972,151.1488
2,ge1-10.dls01-kent-syd.comindico.com.au,203.220.112.48,0.715,-37.9181,145.0354
3,11.112.220.203.unassigned.comindico.com.au,203.220.112.11,0.445,-37.9181,145.0354
4,202.68.65.145,202.68.65.145,1.143,-33.775,151.1125
5,ge-0-0-0.r00.sydnau01.au.bb.gin.ntt.net,202.68.64.221,1.208,-33.775,151.1125
6,p4-1-3-0.r00.tokyjp01.jp.bb.gin.ntt.net,129.250.4.161,124.132,39.6237,-104.8738
7,ae-1.r20.tokyjp01.jp.bb.gin.ntt.net,129.250.3.214,125.984,39.6237,-104.8738
8,xe-3-0-0.a20.tokyjp01.jp.ra.gin.ntt.net,61.213.162.106,127.704,35.69,139.69
9,202.97.5.65,202.97.5.65,232.706,34.7725,113.7266
10,202.97.33.189,202.97.33.189,230.246,34.7725,113.7266
11,202.97.33.37,202.97.33.37,423.413,34.7725,113.7266
12,202.101.63.205,202.101.63.205,235.320,34.7725,113.7266
13,61.152.87.154,61.152.87.154,236.140,31.0456,121.3997
14,222.72.243.250,222.72.243.250,237.473,31.0456,121.3997
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
