1,fe0-0.chr01-kent-syd.comindico.com.au,203.220.0.1,0.787,-33.8972,151.1488
2,ge1-10.dls01-kent-syd.comindico.com.au,203.220.112.48,0.728,-37.9181,145.0354
3,11.112.220.203.unassigned.comindico.com.au,203.220.112.11,1.076,-37.9181,145.0354
4,202.68.65.145,202.68.65.145,1.126,-33.775,151.1125
5,ge-0-0-0.r00.sydnau01.au.bb.gin.ntt.net,202.68.64.221,69.842,-33.775,151.1125
6,as-0.r00.tokyjp01.jp.bb.gin.ntt.net,129.250.4.165,178.678,39.6237,-104.8738
7,ae-0.r21.tokyjp01.jp.bb.gin.ntt.net,129.250.3.137,126.349,39.6237,-104.8738
8,ae-1.r21.plalca01.us.bb.gin.ntt.net,129.250.5.32,165.017,39.6237,-104.8738
9,ae-0.r20.plalca01.us.bb.gin.ntt.net,129.250.4.118,226.114,39.6237,-104.8738
10,xe-4-4.r04.plalca01.us.bb.gin.ntt.net,129.250.4.242,225.087,39.6237,-104.8738
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
