1,anake000br004.thalamus.net,212.31.160.254,1.603,56.4322,12.8333
2,static-213.187.192.29.addr.tdcsong.se,213.187.192.29,1.306,56.1667,14.85
3,tge2-3-54.ign-p2.got.se.sn.net,194.100.250.21,31.790,60.1708,24.9375
4,ge2-2.th2-peer1.lon.se.sn.net,213.88.255.86,36.075,59.3247,18.056
5,tge5-4.fr1.lon.llnw.net,195.66.224.133,32.076,51.5142,-0.0931
6,tge7-2.fr3.lga.llnw.net,69.28.171.125,105.343,33.4148,-111.9093
7,tge1-2.fr4.ord.llnw.net,69.28.171.193,125.899,33.4148,-111.9093
8,ve6.fr3.ord.llnw.net,69.28.172.41,132.440,33.4148,-111.9093
9,tge1-3.fr4.sjc.llnw.net,69.28.171.66,175.048,33.4148,-111.9093
10,ve5.fr3.sjc.llnw.net,69.28.171.209,175.154,33.4148,-111.9093
11,tge2-3.fr4.lax.llnw.net,69.28.171.117,183.590,33.4148,-111.9093
12,myspace.tge8-1.fr4.lax.llnw.net,68.142.106.74,167.482,33.4357,-111.9171
13,vl342.cs2.lax1.myspace.com,204.16.35.137,167.420,34.0995,-118.4143
14,vl3552.cs2.els2.myspace.com,216.178.35.77,188.159,34.538,-118.4032
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,vl3552.cs2.els2.myspace.com,,
29,*,*,*,,
30,*,*,*,,
