1,80.82.140.227,80.82.140.227,0.197,51.5142,-0.0931
2,80.82.140.42,80.82.140.42,0.480,51.5142,-0.0931
3,195.72.128.121,195.72.128.121,0.927,51.4964,-0.1224
4,213.200.77.113,213.200.77.113,0.631,51.2993,9.491
5,213.200.80.90,213.200.80.90,164.596,48.4167,8.6833
6,213.200.73.254,213.200.73.254,157.678,51.2993,9.491
7,219.158.29.173,219.158.29.173,322.040,34.7725,113.7266
8,219.158.8.214,219.158.8.214,320.650,34.7725,113.7266
9,219.158.8.61,219.158.8.61,356.597,34.7725,113.7266
10,219.158.8.62,219.158.8.62,381.905,34.7725,113.7266
11,202.99.66.170,202.99.66.170,385.837,39.1422,117.1767
12,60.28.31.126,60.28.31.126,375.077,39.1422,117.1767
13,60.28.31.106,60.28.31.106,374.597,39.1422,117.1767
14,60.28.253.130,60.28.253.130,375.637,39.1422,117.1767
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
