1,80.82.140.227,80.82.140.227,0.248,51.5142,-0.0931
2,80.82.140.42,80.82.140.42,0.412,51.5142,-0.0931
3,195.72.128.121,195.72.128.121,192.104,51.4964,-0.1224
4,129.250.12.165,129.250.12.165,1.178,39.6237,-104.8738
5,129.250.2.45,129.250.2.45,1.509,39.6237,-104.8738
6,129.250.2.65,129.250.2.65,1.709,39.6237,-104.8738
7,129.250.2.38,129.250.2.38,81.031,39.6237,-104.8738
8,129.250.5.4,129.250.5.4,100.310,39.6237,-104.8738
9,129.250.3.98,129.250.3.98,100.279,39.6237,-104.8738
10,129.250.5.20,129.250.5.20,161.987,39.6237,-104.8738
11,129.250.5.32,129.250.5.32,162.811,39.6237,-104.8738
12,129.250.4.122,129.250.4.122,163.741,39.6237,-104.8738
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
