1,80.82.140.227,80.82.140.227,0.316,51.5142,-0.0931
2,80.82.140.42,80.82.140.42,0.463,51.5142,-0.0931
3,195.72.128.121,195.72.128.121,0.798,51.4964,-0.1224
4,213.200.77.113,213.200.77.113,0.745,51.2993,9.491
5,213.200.80.93,213.200.80.93,137.114,48.4167,8.6833
6,213.200.73.254,213.200.73.254,136.315,51.2993,9.491
7,219.158.29.169,219.158.29.169,306.485,34.7725,113.7266
8,219.158.4.50,219.158.4.50,308.080,34.7725,113.7266
9,219.158.4.49,219.158.4.49,340.238,34.7725,113.7266
10,202.96.12.38,202.96.12.38,341.990,39.9289,116.3883
11,61.148.3.30,61.148.3.30,340.444,39.9289,116.3883
12,202.106.48.18,202.106.48.18,333.224,39.9289,116.3883
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
