1,80.82.140.227,80.82.140.227,0.140,51.5142,-0.0931
2,80.82.140.42,80.82.140.42,0.307,51.5142,-0.0931
3,80.82.140.43,80.82.140.43,0.396,51.5142,-0.0931
4,195.66.226.133,195.66.226.133,0.586,51.5142,-0.0931
5,69.28.171.137,69.28.171.137,9.779,33.4148,-111.9093
6,69.28.171.125,69.28.171.125,79.189,33.4148,-111.9093
7,69.28.171.193,69.28.171.193,95.655,33.4148,-111.9093
8,69.28.172.41,69.28.172.41,95.690,33.4148,-111.9093
9,69.28.171.66,69.28.171.66,144.897,33.4148,-111.9093
10,69.28.171.209,69.28.171.209,151.482,33.4148,-111.9093
11,69.28.171.117,69.28.171.117,153.492,33.4148,-111.9093
12,68.142.106.74,68.142.106.74,170.750,33.4357,-111.9171
13,204.16.35.137,204.16.35.137,171.351,34.0995,-118.4143
14,216.178.35.77,216.178.35.77,171.851,34.538,-118.4032
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
