1,80.82.140.227,80.82.140.227,0.175,51.5142,-0.0931
2,80.82.140.42,80.82.140.42,0.453,51.5142,-0.0931
3,195.72.128.121,195.72.128.121,9.640,51.4964,-0.1224
4,213.200.77.113,213.200.77.113,1.111,51.2993,9.491
5,213.200.80.110,213.200.80.110,77.646,48.4167,8.6833
6,213.200.66.134,213.200.66.134,77.837,51.2993,9.491
7,207.46.41.41,207.46.41.41,77.797,47.6801,-122.1206
8,207.46.45.1,207.46.45.1,155.389,47.6801,-122.1206
9,207.46.33.22,207.46.33.22,148.226,47.6801,-122.1206
10,207.46.39.89,207.46.39.89,155.197,47.6801,-122.1206
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
