1,80.82.140.227,80.82.140.227,0.258,51.5142,-0.0931
2,80.82.140.42,80.82.140.42,0.279,51.5142,-0.0931
3,80.82.140.43,80.82.140.43,0.364,51.5142,-0.0931
4,193.109.219.50,193.109.219.50,0.808,0,0
5,195.66.224.76,195.66.224.76,0.894,51.5142,-0.0931
6,64.125.27.57,64.125.27.57,72.920,39.9469,-105.2142
7,64.125.27.17,64.125.27.17,97.277,39.9469,-105.2142
8,64.125.26.33,64.125.26.33,96.941,39.9469,-105.2142
9,64.125.30.209,64.125.30.209,148.563,39.9469,-105.2142
10,64.124.196.6,64.124.196.6,166.956,39.9523,-75.1638
11,208.96.31.16,208.96.31.16,168.235,40.7209,-74.0468
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
