1,csrouter2,192.41.170.23,0.430,-35.3164,150.4361
2,203.159.63.17,203.159.63.17,1.027,13.754,100.5014
3,202.183.212.161,202.183.212.161,2.039,13.754,100.5014
4,203.146.0.98,203.146.0.98,2.789,13.75,100.4667
5,210.1.46.161,210.1.46.161,2.919,13.75,100.4667
6,210.1.46.243,210.1.46.243,3.376,13.75,100.4667
7,202.183.160.18,202.183.160.18,22.156,13.75,100.4667
8,203.208.192.177,203.208.192.177,60.011,1.2855,103.8565
9,203.208.183.70,203.208.183.70,59.252,1.2855,103.8565
10,so-4-3-0-0.plapx-cr3.ix.singtel.com,203.208.182.58,376.038,1.2855,103.8565
11,ge-1-0-3-0.plapx-dr1.ix.singtel.com,203.208.168.234,260.329,1.2855,103.8565
12,203.208.169.22,203.208.169.22,243.942,1.2855,103.8565
13,svl-core-02.inet.qwest.net,205.171.205.29,258.151,37.751,-97.822
14,jfk-core-02.inet.qwest.net,67.14.5.10,317.854,37.751,-97.822
15,nyc-edge-01.inet.qwest.net,205.171.30.38,321.902,40.7143,-74.006
16,65-118-195-131.dia.static.qwest.net,65.118.195.131,322.434,37.751,-97.822
