1,csrouter2,192.41.170.23,0.668,-35.3164,150.4361
2,203.159.63.17,203.159.63.17,1.130,13.754,100.5014
3,202.183.212.161,202.183.212.161,1.763,13.754,100.5014
4,203.146.0.98,203.146.0.98,2.390,13.75,100.4667
5,210.1.45.161,210.1.45.161,2.644,13.75,100.4667
6,210.1.45.243,210.1.45.243,2.886,13.75,100.4667
7,202.47.254.169,202.47.254.169,3.517,13.75,100.4667
8,202.47.253.130,202.47.253.130,3.841,13.75,100.4667
9,pal9-cat-telecom-3-id.pal.seabone.net,195.22.197.193,190.758,43.1479,12.1097
10,decix-fra1-racc2.fra.seabone.net,195.22.211.221,238.671,43.1479,12.1097
11,global-crossing-2-decix.fra.seabone.net,89.221.34.50,262.769,43.1479,12.1097
12,INTERNAP.te1-3.ar1.snv2.gblx.net,64.210.28.142,326.525,37.751,-97.822
13,border2.pc2-0-bbnet2.sje.pnap.net,66.151.144.69,325.614,37.751,-97.822
14,friendster-4a.border2.sje.pnap.net,66.151.139.42,417.747,37.751,-97.822
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
31,*,*,*,,
32,*,*,*,,
33,*,*,*,,
34,*,*,*,,
35,*,*,*,,
36,*,*,*,,
37,*,*,*,,
38,*,*,*,,
39,*,*,*,,
40,*,*,*,,
41,*,*,*,,
42,*,*,*,,
43,*,*,*,,
44,*,*,*,,
45,*,*,*,,
46,*,*,*,,
47,*,*,*,,
48,*,*,*,,
49,*,*,*,,
50,*,*,*,,
51,*,*,*,,
52,*,*,*,,
53,*,*,*,,
54,*,*,*,,
55,*,*,*,,
56,*,*,*,,
57,*,*,*,,
58,*,*,*,,
59,*,*,*,,
60,*,*,*,,
61,*,*,*,,
62,*,*,*,,
63,*,*,*,,
64,*,*,*,,
