1,csrouter2,192.41.170.23,0.513,-35.3164,150.4361
2,203.159.63.17,203.159.63.17,1.027,13.754,100.5014
3,202.183.212.161,202.183.212.161,1.786,13.754,100.5014
4,203.146.0.97,203.146.0.97,2.527,13.75,100.4667
5,210.1.46.161,210.1.46.161,2.540,13.75,100.4667
6,210.1.46.243,210.1.46.243,3.404,13.75,100.4667
7,202.183.160.18,202.183.160.18,22.278,13.75,100.4667
8,203.208.192.177,203.208.192.177,58.749,1.2855,103.8565
9,POS11-0-0.shaap-cr1.ix.singtel.com,203.208.146.77,191.803,1.2855,103.8565
10,202.97.4.117,202.97.4.117,348.795,34.7725,113.7266
11,202.97.33.169,202.97.33.169,329.616,34.7725,113.7266
12,202.97.33.25,202.97.33.25,346.961,34.7725,113.7266
13,61.152.86.21,61.152.86.21,351.408,31.0456,121.3997
14,61.152.87.154,61.152.87.154,341.395,31.0456,121.3997
15,222.72.243.250,222.72.243.250,329.798,31.0456,121.3997
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
31,*,*,*,,
32,*,*,*,,
33,*,*,*,,
34,*,*,*,,
35,*,*,*,,
36,*,*,*,,
37,*,*,*,,
38,*,*,*,,
39,*,*,*,,
40,*,*,*,,
41,*,*,*,,
42,*,*,*,,
43,*,*,*,,
44,*,*,*,,
45,*,*,*,,
46,*,*,*,,
47,*,*,*,,
48,*,*,*,,
49,*,*,*,,
50,*,*,*,,
51,*,*,*,,
52,*,*,*,,
53,*,*,*,,
54,*,*,*,,
55,*,*,*,,
56,*,*,*,,
57,*,*,*,,
58,*,*,*,,
59,*,*,*,,
60,*,*,*,,
61,*,*,*,,
62,*,*,*,,
63,*,*,*,,
64,*,*,*,,
