1,csrouter2,192.41.170.23,0.529,-35.3164,150.4361
2,203.159.63.17,203.159.63.17,1.252,13.754,100.5014
3,202.183.212.161,202.183.212.161,1.776,13.754,100.5014
4,203.146.0.97,203.146.0.97,2.790,13.75,100.4667
5,210.1.46.161,210.1.46.161,2.795,13.75,100.4667
6,210.1.45.243,210.1.45.243,4.169,13.75,100.4667
7,202.47.254.169,202.47.254.169,3.189,13.75,100.4667
8,202.47.253.150,202.47.253.150,2.916,13.75,100.4667
9,202.47.253.221,202.47.253.221,205.803,13.75,100.4667
10,if-0-4.icore1.LAA-LosAngeles.teleglobe.net,209.58.53.17,204.660,38.9266,-77.3937
11,if-6-0-0-10.mcore4.LAA-LosAngeles.teleglobe.net,216.6.85.21,208.851,38.9266,-77.3937
12,if-5-0.mcore4.PDI-PaloAlto.teleglobe.net,216.6.86.9,220.467,38.9266,-77.3937
13,if-0-0.core3.PDI-PaloAlto.Teleglobe.net,207.45.196.77,215.607,38.9266,-77.3937
14,ix-6-2.core3.PDI-PaloAlto.Teleglobe.net,207.45.213.130,313.910,38.9266,-77.3937
15,g-1-0-0-p150.msr2.sp1.yahoo.com,216.115.107.77,316.100,37.4249,-122.0074
16,te-9-1.bas-a1.sp1.yahoo.com,209.131.32.21,312.837,37.4249,-122.0074
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
31,*,*,*,,
32,*,*,*,,
33,*,*,*,,
34,*,*,*,,
35,*,*,*,,
36,*,*,*,,
37,*,*,*,,
38,*,*,*,,
39,*,*,*,,
40,*,*,*,,
41,*,*,*,,
42,*,*,*,,
43,*,*,*,,
44,*,*,*,,
45,*,*,*,,
46,*,*,*,,
47,*,*,*,,
48,*,*,*,,
49,*,*,*,,
50,*,*,*,,
51,*,*,*,,
52,*,*,*,,
53,*,*,*,,
54,*,*,*,,
55,*,*,*,,
56,*,*,*,,
57,*,*,*,,
58,*,*,*,,
59,*,*,*,,
60,*,*,*,,
61,*,*,*,,
62,*,*,*,,
63,*,*,*,,
64,*,*,*,,
