1,csrouter2,192.41.170.23,0.528,-35.3164,150.4361
2,203.159.63.17,203.159.63.17,1.223,13.754,100.5014
3,202.183.212.161,202.183.212.161,1.947,13.754,100.5014
4,203.146.0.98,203.146.0.98,3.271,13.75,100.4667
5,210.1.46.161,210.1.46.161,2.777,13.75,100.4667
6,210.1.45.244,210.1.45.244,3.365,13.75,100.4667
7,202.183.136.1,202.183.136.1,55.896,13.75,100.4667
8,cor-sngeq1.csloxinfo.net,202.183.136.5,55.964,13.75,100.4667
9,Gi2-0-1.gw1.sin3.asianetcom.net,203.192.168.5,55.503,35.69,139.69
10,po4-2.cr1.hkg3.asianetcom.net,202.147.32.78,92.818,35.69,139.69
11,gi2-0-0.cr1.nrt1.asianetcom.net,202.147.0.57,108.897,35.69,139.69
12,po3-0-0.gw2.sjc1.asianetcom.net,202.147.0.202,221.344,35.69,139.69
13,unknown.Level3.net,64.152.102.61,233.455,37.751,-97.822
14,vlan69.csw1.SanJose1.Level3.net,4.68.18.62,236.447,37.751,-97.822
15,ae-62-62.ebr2.SanJose1.Level3.net,4.69.134.209,231.478,37.751,-97.822
16,ae-4-4.car2.SanFrancisco1.Level3.net,4.69.133.157,232.357,37.751,-97.822
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
31,*,*,*,,
32,*,*,*,,
33,*,*,*,,
34,*,*,*,,
35,*,*,*,,
36,*,*,*,,
37,*,*,*,,
38,*,*,*,,
39,*,*,*,,
40,*,*,*,,
41,*,*,*,,
42,*,*,*,,
43,*,*,*,,
44,*,*,*,,
45,*,*,*,,
46,*,*,*,,
47,*,*,*,,
48,*,*,*,,
49,*,*,*,,
50,*,*,*,,
51,*,*,*,,
52,*,*,*,,
53,*,*,*,,
54,*,*,*,,
55,*,*,*,,
56,*,*,*,,
57,*,*,*,,
58,*,*,*,,
59,*,*,*,,
60,*,*,*,,
61,*,*,*,,
62,*,*,*,,
63,*,*,*,,
64,*,*,*,,
