1,csrouter2,192.41.170.23,0.755,-35.3164,150.4361
2,203.159.63.17,203.159.63.17,1.397,13.754,100.5014
3,202.183.212.161,202.183.212.161,2.547,13.754,100.5014
4,203.146.0.97,203.146.0.97,2.843,13.75,100.4667
5,210.1.46.161,210.1.46.161,3.157,13.75,100.4667
6,210.1.46.243,210.1.46.243,3.400,13.75,100.4667
7,202.183.160.18,202.183.160.18,22.287,13.75,100.4667
8,203.208.192.177,203.208.192.177,60.335,1.2855,103.8565
9,ge-2-0-0-0.sngtp-ar3.ix.singtel.com,203.208.183.20,59.685,1.2855,103.8565
10,203.208.145.182,203.208.145.182,207.326,1.2855,103.8565
11,219.158.3.197,219.158.3.197,443.839,34.7725,113.7266
12,219.158.4.69,219.158.4.69,290.550,34.7725,113.7266
13,202.96.12.14,202.96.12.14,435.978,39.9289,116.3883
14,61.148.3.58,61.148.3.58,284.178,39.9289,116.3883
15,202.106.48.18,202.106.48.18,274.842,39.9289,116.3883
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
31,*,*,*,,
32,*,*,*,,
33,*,*,*,,
34,*,*,*,,
35,*,*,*,,
36,*,*,*,,
37,*,*,*,,
38,*,*,*,,
39,*,*,*,,
40,*,*,*,,
41,*,*,*,,
42,*,*,*,,
43,*,*,*,,
44,*,*,*,,
45,*,*,*,,
46,*,*,*,,
47,*,*,*,,
48,*,*,*,,
49,*,*,*,,
50,*,*,*,,
51,*,*,*,,
52,*,*,*,,
53,*,*,*,,
54,*,*,*,,
55,*,*,*,,
56,*,*,*,,
57,*,*,*,,
58,*,*,*,,
59,*,*,*,,
60,*,*,*,,
61,*,*,*,,
62,*,*,*,,
63,*,*,*,,
64,*,*,*,,
