1,csrouter2,192.41.170.23,0.444,-35.3164,150.4361
2,203.159.63.17,203.159.63.17,0.897,13.754,100.5014
3,202.183.212.161,202.183.212.161,1.909,13.754,100.5014
4,203.146.0.98,203.146.0.98,2.127,13.75,100.4667
5,210.1.45.161,210.1.45.161,2.876,13.75,100.4667
6,210.1.46.243,210.1.46.243,3.725,13.75,100.4667
7,218.100.47.250,218.100.47.250,59.221,13.754,100.5014
8,218.100.47.2,218.100.47.2,57.681,13.754,100.5014
9,global.hgc.com.hk,218.189.23.145,63.716,22.25,114.1667
10,global.hgc.com.hk,218.189.8.197,56.823,22.25,114.1667
11,global.hgc.com.hk,218.189.8.215,56.711,22.25,114.1667
12,global.hgc.com.hk,218.189.8.179,*,22.25,114.1667
13,219.158.33.65,219.158.33.65,162.883,34.7725,113.7266
14,219.158.3.97,219.158.3.97,148.678,34.7725,113.7266
15,219.158.3.237,219.158.3.237,351.151,34.7725,113.7266
16,219.158.4.50,219.158.4.50,380.401,34.7725,113.7266
17,219.158.4.49,219.158.4.49,276.333,34.7725,113.7266
18,219.158.6.66,219.158.6.66,*,34.7725,113.7266
19,202.99.66.170,202.99.66.170,423.393,39.1422,117.1767
20,60.28.31.126,60.28.31.126,316.922,39.1422,117.1767
21,60.28.31.106,60.28.31.106,394.117,39.1422,117.1767
22,60.28.253.254,60.28.253.254,389.597,39.1422,117.1767
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
31,*,*,*,,
32,*,*,*,,
33,*,*,*,,
34,*,*,*,,
35,*,*,*,,
36,*,*,*,,
37,*,*,*,,
38,*,*,*,,
39,*,*,*,,
40,*,*,*,,
41,*,*,*,,
42,*,*,*,,
43,*,*,*,,
44,*,*,*,,
45,*,*,*,,
46,*,*,*,,
47,*,*,*,,
48,*,*,*,,
49,*,*,*,,
50,*,*,*,,
51,*,*,*,,
52,*,*,*,,
53,*,*,*,,
54,*,*,*,,
55,*,*,*,,
56,*,*,*,,
57,*,*,*,,
58,*,*,*,,
59,*,*,*,,
60,*,*,*,,
61,*,*,*,,
62,*,*,*,,
63,*,*,*,,
64,*,*,*,,
