1,200.27.109.193,200.27.109.193,3,-33.4378,-70.6503
2,192.168.127.165,,4,,
3,Vlan20.cr1.Santiago.ip.telmexchile.cl,200.27.5.129,4,-33.4625,-70.6682
4,200.27.5.233,,4,,
5,bbint-santgo-starosa-2-pto-0-3.uninet.net.mx,201.125.234.65,10,19.4371,-99.0111
6,inet-cal-onewilshire-3-pos10-2.uninet.net.mx,201.125.224.49,131,19.4371,-99.0111
7,ge-7-3-0.ar3.LAX1.gblx.net,64.215.184.41,131,42.5988,-83.0104
8,INTERNAP.te1-3.ar1.snv2.gblx.net,64.210.28.142,140,37.751,-97.822
9,border2.pc2-0-bbnet2.sje.pnap.net,66.151.144.69,305,37.751,-97.822
10,,,*,,
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,209.11.168.113,,146,,
