1,200.27.109.193,200.27.109.193,3,-33.4378,-70.6503
2,192.168.127.165,,4,,
3,Vlan20.cr1.Santiago.ip.telmexchile.cl,200.27.5.129,3,-33.4625,-70.6682
4,200.27.5.237,,4,,
5,bbint-santgo-starosa-2-pto-0-3.uninet.net.mx,201.125.234.65,3,19.4371,-99.0111
6,customer-201-125-228-65.uninet.net.mx,201.125.228.65,134,19.4371,-99.0111
7,*,*,*,,
8,ge-6-3-0-46.pao-64cb-1b.ntwk.msn.net,207.46.46.67,145,47.6801,-122.1206
9,207.46.46.97,,148,,
10,ge-1-2-0-0.tuk-64cb-1a.ntwk.msn.net,207.46.33.218,167,47.6801,-122.1206
11,po15.tuk-65ns-mcs-1a.ntwk.msn.net,207.46.35.138,162,47.6801,-122.1206
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
