1,pophannover.helios.de,193.141.98.1,2,51.2993,9.491
2,popcore2.pop-hannover.net,62.48.66.117,1,52.3667,9.7167
3,globalcore.pop-hannover.net,62.48.66.102,2,52.3667,9.7167
4,64.215.24.13,64.215.24.13,10,37.751,-97.822
5,yahoo-1.ar1.DCA3.gblx.net,208.50.13.210,154,37.751,-97.822
6,so-0-0-0.pat1.pao.yahoo.com,216.115.101.128,173,37.4249,-122.0074
7,g-0-0-0-p140.msr1.sp1.yahoo.com,216.115.107.49,220,37.4249,-122.0074
8,te-8-1.bas-a1.sp1.yahoo.com,209.131.32.17,222,37.4249,-122.0074
9,*,*,*,,
10,*,*,*,,
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
