1,pophannover.helios.de,193.141.98.1,19,51.2993,9.491
2,popcore2.pop-hannover.net,62.48.66.117,2,52.3667,9.7167
3,globalcore.pop-hannover.net,62.48.66.102,2,52.3667,9.7167
4,64.215.24.13,64.215.24.13,50,37.751,-97.822
5,72.14.198.101,72.14.198.101,16,37.4192,-122.0574
6,216.239.43.88,216.239.43.88,17,37.3688,-122.0363
7,72.14.233.62,72.14.233.62,26,37.4192,-122.0574
8,72.14.236.216,72.14.236.216,93,37.4192,-122.0574
9,216.239.46.227,216.239.46.227,118,37.3688,-122.0363
10,72.14.232.96,72.14.232.96,162,37.4192,-122.0574
11,66.249.95.210,66.249.95.210,167,37.4192,-122.0574
12,72.14.233.52,72.14.233.52,170,37.4192,-122.0574
13,72.14.233.45,72.14.233.45,169,37.4192,-122.0574
14,72.14.233.29,72.14.233.29,170,37.4192,-122.0574
15,72.14.233.14,72.14.233.14,182,37.4192,-122.0574
16,po-in-f103.google.com,72.14.253.103,169,41.2307,-96.1178
