1,phnx-core-7513.getnet.net,216.19.223.1,1.080,33.5083,-112.0717
2,phnx-gsr0.getnet.net,216.19.201.241,0.581,33.5083,-112.0717
3,s1-0.ca01.phx01.atlas.cogentco.com,38.112.7.25,1.251,41.059,-74.1454
4,s2-0.core02.lax01.atlas.cogentco.com,154.54.2.5,12.413,37.751,-97.822
5,t8-1.mpd01.lax01.atlas.cogentco.com,154.54.1.102,12.732,37.751,-97.822
6,t4-2.mpd01.lax05.atlas.cogentco.com,154.54.6.230,13.901,37.751,-97.822
7,Tenge6-3-10000M.ar3.LAX2.gblx.net,64.215.195.153,13.197,44.1858,-88.4626
8,ge7-4-10G.ar2.LAX2.gblx.net,67.17.110.1,14.491,37.751,-97.822
9,MYSPACE-COM.ge4-1.ar2.LAX2.gblx.net,64.209.93.102,69.244,37.751,-97.822
10,vl342.cs2.lax1.myspace.com,204.16.35.137,12.539,34.0995,-118.4143
11,vl3552.cs2.els2.myspace.com,216.178.35.77,18.352,34.538,-118.4032
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
