1,phnx-core-7513.getnet.net,216.19.223.1,0.918,33.5083,-112.0717
2,phnx-gsr0.getnet.net,216.19.201.241,0.468,33.5083,-112.0717
3,s1-0.ca01.phx01.atlas.cogentco.com,38.112.7.25,1.312,41.059,-74.1454
4,s2-0.core02.lax01.atlas.cogentco.com,154.54.2.5,12.155,37.751,-97.822
5,t8-1.mpd01.lax01.atlas.cogentco.com,154.54.1.102,13.209,37.751,-97.822
6,t4-2.mpd01.lax05.atlas.cogentco.com,154.54.6.230,14.009,37.751,-97.822
7,jt.lax05.atlas.cogentco.com,154.54.13.78,13.458,37.751,-97.822
8,tyo-gw1-pos4-0.gw.odn.ad.jp,210.142.161.69,144.796,35.69,139.69
9,tyork-05-pos12-0.gw.odn.ad.jp,210.142.161.77,145.316,35.69,139.69
10,TYOrw-10T1-1.nw.odn.ad.jp,143.90.192.66,144.865,35.69,139.69
11,214.211131233.odn.ne.jp,211.131.233.214,145.729,35.69,139.69
12,124.83.128.26,124.83.128.26,147.194,35.69,139.69
13,124.83.128.82,124.83.128.82,136.939,35.69,139.69
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
