1,phnx-core-7513.getnet.net,216.19.223.1,1.073,33.5083,-112.0717
2,phnx-gsr0.getnet.net,216.19.201.241,0.534,33.5083,-112.0717
3,s1-0.ca01.phx01.atlas.cogentco.com,38.112.7.25,1.542,41.059,-74.1454
4,s2-0.core02.lax01.atlas.cogentco.com,154.54.2.5,14.551,37.751,-97.822
5,t9-3.mpd01.lax01.atlas.cogentco.com,154.54.1.34,14.547,37.751,-97.822
6,t2-3.mpd01.sjc01.atlas.cogentco.com,154.54.5.185,25.233,37.751,-97.822
7,v3493.mpd01.sjc03.atlas.cogentco.com,154.54.6.110,25.604,37.751,-97.822
8,yahoo.sjc03.atlas.cogentco.com,154.54.13.38,25.753,37.751,-97.822
9,g-0-0-0-p171.msr2.sp1.yahoo.com,216.115.107.83,29.742,37.4249,-122.0074
10,te-8-1.bas-a1.sp1.yahoo.com,209.131.32.17,28.543,37.4249,-122.0074
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
