1,phnx-core-7513.getnet.net,216.19.223.1,0.975,33.5083,-112.0717
2,phnx-gsr0.getnet.net,216.19.201.241,0.403,33.5083,-112.0717
3,s1-0.ca01.phx01.atlas.cogentco.com,38.112.7.25,1.065,41.059,-74.1454
4,s2-0.core02.lax01.atlas.cogentco.com,154.54.2.5,12.723,37.751,-97.822
5,p2-0.core01.lax04.atlas.cogentco.com,154.54.2.238,111.039,37.751,-97.822
6,chinanetcom.lax04.atlas.cogentco.com,154.54.14.14,12.456,37.751,-97.822
7,219.158.25.21,219.158.25.21,205.151,34.7725,113.7266
8,219.158.3.201,219.158.3.201,199.476,34.7725,113.7266
9,219.158.4.185,219.158.4.185,317.266,34.7725,113.7266
10,219.158.8.234,219.158.8.234,320.732,34.7725,113.7266
11,202.99.66.170,202.99.66.170,330.491,39.1422,117.1767
12,60.28.31.126,60.28.31.126,327.637,39.1422,117.1767
13,60.28.31.106,60.28.31.106,318.169,39.1422,117.1767
14,60.28.171.18,60.28.171.18,334.219,39.1422,117.1767
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
