1,phnx-core-7513.getnet.net,216.19.223.1,16.441,33.5083,-112.0717
2,phnx-gsr0.getnet.net,216.19.201.241,0.454,33.5083,-112.0717
3,s1-0.ca01.phx01.atlas.cogentco.com,38.112.7.25,1.789,41.059,-74.1454
4,s2-0.core02.lax01.atlas.cogentco.com,154.54.2.5,12.779,37.751,-97.822
5,t8-1.mpd01.lax01.atlas.cogentco.com,154.54.1.102,13.303,37.751,-97.822
6,t2-1.mpd01.sjc01.atlas.cogentco.com,154.54.5.181,23.806,37.751,-97.822
7,v3493.mpd01.sjc03.atlas.cogentco.com,154.54.6.110,25.183,37.751,-97.822
8,microsoft.sjc03.atlas.cogentco.com,154.54.13.222,24.339,37.751,-97.822
9,ge-7-3-0-57.sjc-64cb-1b.ntwk.msn.net,207.46.37.201,23.984,47.6801,-122.1206
10,ge-0-0-0-0.sjc-64cb-1a.ntwk.msn.net,207.46.37.57,24.546,47.6801,-122.1206
11,ge-7-1-0-0.by2-64c-1a.ntwk.msn.net,207.46.33.18,27.388,47.6801,-122.1206
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
