1,phnx-core-7513.getnet.net,216.19.223.1,1.049,33.5083,-112.0717
2,phnx-gsr0.getnet.net,216.19.201.241,0.494,33.5083,-112.0717
3,s1-0.ca01.phx01.atlas.cogentco.com,38.112.7.25,10.836,41.059,-74.1454
4,s2-0.core02.lax01.atlas.cogentco.com,154.54.2.5,22.338,37.751,-97.822
5,p2-0.core01.lax04.atlas.cogentco.com,154.54.2.238,22.538,37.751,-97.822
6,chinanetcom.lax04.atlas.cogentco.com,154.54.14.14,22.322,37.751,-97.822
7,219.158.25.29,219.158.25.29,215.983,34.7725,113.7266
8,219.158.3.193,219.158.3.193,216.416,34.7725,113.7266
9,219.158.4.69,219.158.4.69,242.095,34.7725,113.7266
10,202.96.12.62,202.96.12.62,243.145,39.9289,116.3883
11,61.148.3.58,61.148.3.58,239.814,39.9289,116.3883
12,202.106.48.18,202.106.48.18,235.258,39.9289,116.3883
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
