1,phnx-core-7513.getnet.net,216.19.223.1,1.805,33.5083,-112.0717
2,phnx-gsr0.getnet.net,216.19.201.241,0.529,33.5083,-112.0717
3,s1-0.ca01.phx01.atlas.cogentco.com,38.112.7.25,1.051,41.059,-74.1454
4,s2-0.core02.lax01.atlas.cogentco.com,154.54.2.5,13.505,37.751,-97.822
5,p2-0.core01.lax04.atlas.cogentco.com,154.54.2.238,13.412,37.751,-97.822
6,chinatelecom.lax04.atlas.cogentco.com,154.54.10.198,182.294,37.751,-97.822
7,202.97.49.78,202.97.49.78,13.671,34.7725,113.7266
8,202.97.51.57,202.97.51.57,186.792,34.7725,113.7266
9,202.97.33.93,202.97.33.93,188.427,34.7725,113.7266
10,61.152.86.21,61.152.86.21,186.442,31.0456,121.3997
11,61.152.87.154,61.152.87.154,190.999,31.0456,121.3997
12,222.72.243.246,222.72.243.246,184.568,31.0456,121.3997
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
