1,ge.m20.access.science.belnet.net,193.190.198.3,0.308,50.85,4.35
2,oc48.m160.core.science.belnet.net,193.191.1.65,0.494,50.4333,5.4667
3,oc192.m320.ext.science.belnet.net,193.191.1.2,0.377,50.4333,5.4667
4,gi4-0.brubb2.MolendeekBrussels.opentransit.net,193.251.254.133,0.429,48.8582,2.3387
5,po4-0.brubb1.Brussels.opentransit.net,193.251.241.113,0.718,48.8582,2.3387
6,*,*,*,,
7,po11-0.ashcr1.Ashburn.opentransit.net,193.251.240.82,85.139,48.8582,2.3387
8,microsoft.GW.opentransit.net,193.251.248.38,84.482,48.8582,2.3387
9,ge-0-3-0-57.ash-64cb-1b.ntwk.msn.net,207.46.41.57,82.456,47.6801,-122.1206
10,ge-6-2-0-0.pao-64cb-1b.ntwk.msn.net,207.46.33.213,157.144,47.6801,-122.1206
11,ge-0-1-0-0.by2-64c-1b.ntwk.msn.net,207.46.38.13,167.966,47.6801,-122.1206
12,ge-0-0-0-0.by2-64c-1a.ntwk.msn.net,207.46.39.81,160.487,47.6801,-122.1206
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
31,*,*,*,,
32,*,*,*,,
