1,ge.m20.access.science.belnet.net,193.190.198.3,0.317,50.85,4.35
2,oc48.m160.core.science.belnet.net,193.191.1.65,0.362,50.4333,5.4667
3,oc48.m160.ext.brussels.belnet.net,193.191.1.22,0.668,50.4333,5.4667
4,ge-4-3-0.bru20.ip.tiscali.net,213.200.69.81,1.243,51.2993,9.491
5,so-0-0-0.lax22.ip.tiscali.net,213.200.80.93,142.941,48.4167,8.6833
6,213.200.73.254,213.200.73.254,152.094,51.2993,9.491
7,219.158.25.121,219.158.25.121,321.896,34.7725,113.7266
8,219.158.4.34,219.158.4.34,307.997,34.7725,113.7266
9,219.158.4.33,219.158.4.33,349.378,34.7725,113.7266
10,202.96.12.38,202.96.12.38,337.964,39.9289,116.3883
11,61.148.3.30,61.148.3.30,349.061,39.9289,116.3883
12,202.106.48.18,202.106.48.18,351.371,39.9289,116.3883
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
31,*,*,*,,
32,*,*,*,,
