1,ge.m20.access.science.belnet.net,193.190.198.3,0.306,50.85,4.35
2,oc48.m160.core.science.belnet.net,193.191.1.65,0.383,50.4333,5.4667
3,oc48.m160.ext.brussels.belnet.net,193.191.1.22,0.676,50.4333,5.4667
4,ge-4-3-0.bru20.ip.tiscali.net,213.200.69.81,1.242,51.2993,9.491
5,*,*,*,,
6,213.200.73.254,213.200.73.254,163.277,51.2993,9.491
7,219.158.29.169,219.158.29.169,329.679,34.7725,113.7266
8,219.158.7.178,219.158.7.178,330.668,34.7725,113.7266
9,219.158.7.177,219.158.7.177,382.876,34.7725,113.7266
10,*,*,*,,
11,202.99.66.170,202.99.66.170,409.824,39.1422,117.1767
12,60.28.31.126,60.28.31.126,374.492,39.1422,117.1767
13,60.28.31.106,60.28.31.106,386.150,39.1422,117.1767
14,60.28.253.254,60.28.253.254,394.724,39.1422,117.1767
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
31,*,*,*,,
32,*,*,*,,
