1,ge.m20.access.science.belnet.net,193.190.198.3,0.370,50.85,4.35
2,oc48.m160.core.science.belnet.net,193.191.1.65,55.311,50.4333,5.4667
3,oc192.m320.ext.science.belnet.net,193.191.1.2,0.379,50.4333,5.4667
4,gi4-0.brubb2.MolendeekBrussels.opentransit.net,193.251.254.133,0.453,48.8582,2.3387
5,po4-0.brubb1.Brussels.opentransit.net,193.251.241.113,0.731,48.8582,2.3387
6,*,*,*,,
7,ge-1-1-0-0.loncr5.London.opentransit.net,193.251.242.217,10.294,48.8582,2.3387
8,po3-0.nykcr3.NewYork.opentransit.net,193.251.243.21,80.184,48.8582,2.3387
9,po0-0.palcr1.PaloAlto.opentransit.net,193.251.240.1,161.826,48.8582,2.3387
10,chinatelecom-3.GW.opentransit.net,193.251.249.190,159.324,48.8582,2.3387
11,202.97.49.194,202.97.49.194,160.255,34.7725,113.7266
12,202.97.51.73,202.97.51.73,345.581,34.7725,113.7266
13,202.97.33.93,202.97.33.93,346.803,34.7725,113.7266
14,202.101.63.205,202.101.63.205,333.830,34.7725,113.7266
15,61.152.87.158,61.152.87.158,347.773,31.0456,121.3997
16,222.72.243.250,222.72.243.250,347.352,31.0456,121.3997
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
31,*,*,*,,
32,*,*,*,,
