1,ge.m20.access.science.belnet.net,193.190.198.3,0.384,50.85,4.35
2,oc48.m160.core.science.belnet.net,193.191.1.65,0.402,50.4333,5.4667
3,oc192.m320.ext.science.belnet.net,193.191.1.2,0.809,50.4333,5.4667
4,gi4-0.brubb2.MolendeekBrussels.opentransit.net,193.251.254.133,0.455,48.8582,2.3387
5,po4-0.brubb1.Brussels.opentransit.net,193.251.241.113,0.709,48.8582,2.3387
6,*,*,*,,
7,ge-1-3-0-0.loncr5.London.opentransit.net,193.251.242.181,10.288,48.8582,2.3387
8,p16-2-0-2.r22.londen03.uk.bb.gin.ntt.net,129.250.8.49,7.572,39.6237,-104.8738
9,p64-2-1-0.r21.nycmny01.us.bb.gin.ntt.net,129.250.2.38,87.508,39.6237,-104.8738
10,p64-2-0-0.r20.chcgil09.us.bb.gin.ntt.net,129.250.5.4,115.824,39.6237,-104.8738
11,ae-0.r21.chcgil09.us.bb.gin.ntt.net,129.250.3.98,108.606,39.6237,-104.8738
12,p64-3-1-0.r20.snjsca04.us.bb.gin.ntt.net,129.250.5.20,173.819,39.6237,-104.8738
13,ae-1.r21.plalca01.us.bb.gin.ntt.net,129.250.5.32,167.111,39.6237,-104.8738
14,xe-4-1.r04.plalca01.us.bb.gin.ntt.net,129.250.4.122,166.953,39.6237,-104.8738
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
31,*,*,*,,
32,*,*,*,,
