1,ge.m20.access.science.belnet.net,193.190.198.3,0.307,50.85,4.35
2,oc48.m160.core.science.belnet.net,193.191.1.65,0.370,50.4333,5.4667
3,oc192.m320.ext.science.belnet.net,193.191.1.2,6.125,50.4333,5.4667
4,gi4-0.brubb2.MolendeekBrussels.opentransit.net,193.251.254.133,0.418,48.8582,2.3387
5,po4-0.brubb1.Brussels.opentransit.net,193.251.241.113,0.696,48.8582,2.3387
6,so-0-3-0-0.loncr4.London.opentransit.net,193.251.241.194,10.461,48.8582,2.3387
7,po10-0.ashcr1.Ashburn.opentransit.net,193.251.240.182,84.286,48.8582,2.3387
8,gi9-0-0.ashcr2.Ashburn.opentransit.net,193.251.241.42,84.204,48.8582,2.3387
9,so-7-0-0-0.atlcr1.Atlanta.opentransit.net,193.251.243.26,97.637,48.8582,2.3387
10,tengige0-2-0-0.daltr1.Dallas.opentransit.net,193.251.241.22,119.085,48.8582,2.3387
11,te11-1.dalse1.Dallas.opentransit.net,193.251.241.21,117.275,48.8582,2.3387
12,UNKNOWN-216-115-102-153.yahoo.com,216.115.102.153,117.880,37.4249,-122.0074
13,so-1-0-0.pat1.pao.yahoo.com,216.115.101.132,162.722,37.4249,-122.0074
14,g-0-0-0-p150.msr2.sp1.yahoo.com,216.115.107.73,162.929,37.4249,-122.0074
15,te-8-1.bas-a2.sp1.yahoo.com,209.131.32.19,162.299,37.4249,-122.0074
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
31,*,*,*,,
32,*,*,*,,
