1,ge.m20.access.science.belnet.net,193.190.198.3,0.294,50.85,4.35
2,oc48.m160.core.science.belnet.net,193.191.1.65,0.377,50.4333,5.4667
3,oc192.m320.ext.science.belnet.net,193.191.1.2,0.355,50.4333,5.4667
4,ge-1-3-0.mpr1.ams1.nl.above.net,195.69.144.122,5.789,52.35,4.9167
5,so-2-1-0.mpr1.lga5.us.above.net,64.125.27.185,87.326,39.9469,-105.2142
6,so-3-0-0.cr1.ord2.us.above.net,64.125.27.169,107.679,39.9469,-105.2142
7,so-1-2-0.mpr1.sjc2.us.above.net,64.125.30.213,159.629,39.9469,-105.2142
8,64.124.196.6.available.above.net,64.124.196.6,303.603,39.9523,-75.1638
9,customer-reverse-entry.208.96.31.16,208.96.31.16,160.528,40.7209,-74.0468
10,*,*,*,,
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
31,*,*,*,,
32,*,*,*,,
