1,v867.m7i.transip.net,80.69.67.220,0.829,52.3824,4.8995
2,adm-b3-geth1-1-1-100.telia.net,213.248.72.197,1.049,47,8
3,adm-bb1-link.telia.net,80.91.254.126,1.048,47,8
4,ldn-bb2-pos7-2-0.telia.net,213.248.65.157,9.696,47,8
5,nyk-bb1-pos0-2-0.telia.net,213.248.65.90,80.423,47,8
6,sjo-bb1-link.telia.net,213.248.80.1,145.951,47,8
7,microsoft-110312-sjo-bb,213.248.86.70,162.267,47,8
8,ge-6-3-0-54.sjc-64cb-1a.ntwk.msn.net,207.46.37.173,161.071,47.6801,-122.1206
9,ge-7-1-0-0.by2-64c-1a.ntwk.msn.net,207.46.33.18,163.326,47.6801,-122.1206
10,ge-1-0-0-0.by2-64c-1b.ntwk.msn.net,207.46.39.86,177.630,47.6801,-122.1206
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
