1,v867.m7i.transip.net,80.69.67.220,0.583,52.3824,4.8995
2,adm-b3-geth1-1-1-100.telia.net,213.248.72.197,1.004,47,8
3,adm-bb2-link.telia.net,80.91.254.130,0.782,47,8
4,ldn-bb1-pos7-0-0.telia.net,213.248.65.149,8.324,47,8
5,ldn-b1-pos5-0.telia.net,213.248.74.14,9.374,47,8
6,so4-3-0-622M.ar3.LON2.gblx.net,64.208.110.37,16.645,37.751,-97.822
7,INTERNAP.te1-3.ar1.snv2.gblx.net,64.210.28.142,150.064,37.751,-97.822
8,border2.pc2-0-bbnet2.sje.pnap.net,66.151.144.69,150.109,37.751,-97.822
9,*,*,*,,
10,*,*,*,,
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
