1,v867.m7i.transip.net,80.69.67.220,0.622,52.3824,4.8995
2,core2.m5.transip.net,80.69.67.221,102.490,52.3824,4.8995
3,e1-0-3-3.0.flagtel.com,62.216.144.13,2.020,51.4964,-0.1224
4,so-1-2-0.0.cjr02.ldn001.flagtel.com,62.216.128.185,23.864,51.4964,-0.1224
5,so-1-3-0.0.cjr02.ldn004.flagtel.com,62.216.128.198,23.678,51.4964,-0.1224
6,so-2-1-0.0.cjr01.nyc005.flagtel.com,62.216.128.150,101.918,51.4964,-0.1224
7,62.216.145.18,62.216.145.18,102.392,51.4964,-0.1224
8,so-0-0-0.pat2.pao.yahoo.com,216.115.101.130,175.523,37.4249,-122.0074
9,g-0-0-0-p151.msr2.sp1.yahoo.com,216.115.107.75,231.995,37.4249,-122.0074
10,te-8-1.bas-a1.sp1.yahoo.com,209.131.32.17,174.482,37.4249,-122.0074
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
