1,v867.m7i.transip.net,80.69.67.220,0.653,52.3824,4.8995
2,fr3.ams.llnw.net,195.69.145.133,3.949,52.35,4.9167
3,tge5-1.fr4.lga.llnw.net,69.28.171.86,83.439,33.4148,-111.9093
4,ve2002.fr3.lga.llnw.net,69.28.171.201,83.622,33.4148,-111.9093
5,tge1-2.fr4.ord.llnw.net,69.28.171.193,110.859,33.4148,-111.9093
6,ve6.fr3.ord.llnw.net,69.28.172.41,110.659,33.4148,-111.9093
7,tge1-3.fr4.sjc.llnw.net,69.28.171.66,159.987,33.4148,-111.9093
8,ve5.fr3.sjc.llnw.net,69.28.171.209,159.996,33.4148,-111.9093
9,tge2-3.fr4.lax.llnw.net,69.28.171.117,170.699,33.4148,-111.9093
10,myspace.tge8-1.fr4.lax.llnw.net,68.142.106.74,156.777,33.4357,-111.9171
11,vl342.cs2.lax1.myspace.com,204.16.35.137,156.872,34.0995,-118.4143
12,vl3552.cs2.els2.myspace.com,216.178.35.77,157.605,34.538,-118.4032
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
