1,v867.m7i.transip.net,80.69.67.220,0.589,52.3824,4.8995
2,adm-b3-geth1-1-1-100.telia.net,213.248.72.197,0.685,47,8
3,adm-bb2-link.telia.net,80.91.254.130,0.877,47,8
4,ldn-bb1-pos7-0-0.telia.net,213.248.65.149,8.463,47,8
5,nyk-bb2-pos0-2-0.telia.net,213.248.65.94,77.638,47,8
6,sjo-bb1-link.telia.net,80.91.254.177,146.218,47,8
7,china-network-112129-sjo-bb1.telia.net,213.248.86.42,143.083,47,8
8,219.158.25.17,219.158.25.17,328.267,34.7725,113.7266
9,219.158.3.193,219.158.3.193,325.525,34.7725,113.7266
10,219.158.4.69,219.158.4.69,346.503,34.7725,113.7266
11,202.96.12.62,202.96.12.62,349.030,39.9289,116.3883
12,61.148.3.58,61.148.3.58,344.932,39.9289,116.3883
13,202.106.48.18,202.106.48.18,346.516,39.9289,116.3883
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
