1,adsl-63-205-183-126.dsl.snfc21.pacbell.net,63.205.183.126,0.613,37.751,-97.822
2,adsl-67-119-102-97.dsl.snfc21.pacbell.net,67.119.102.97,19.722,37.751,-97.822
3,dist2-vlan60.snfc21.pbi.net,216.102.187.131,19.170,37.751,-97.822
4,bb2-10g2-0.snfcca.sbcglobal.net,216.102.176.226,177.185,37.751,-97.822
5,151.164.95.244,151.164.95.244,31.146,32.9722,-96.7376
6,64.215.195.241,64.215.195.241,19.845,44.1858,-88.4626
7,64.209.103.18,64.209.103.18,45.423,32.9689,-96.7991
8,vl342.cs2.lax1.myspace.com,204.16.35.137,33.223,34.0995,-118.4143
9,vl3552.cs2.els2.myspace.com,216.178.35.77,33.640,34.538,-118.4032
10,*,*,*,,
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,vl3552.cs2.els2.myspace.com,216.178.35.77,109.851,34.538,-118.4032
18,*,*,*,,
19,vl3552.cs2.els2.myspace.com,216.178.35.77,*,34.538,-118.4032
20,*,*,vl3552.cs2.els2.myspace.com,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
