1,adsl-63-205-183-126.dsl.snfc21.pacbell.net,63.205.183.126,0.596,37.751,-97.822
2,adsl-67-119-102-97.dsl.snfc21.pacbell.net,67.119.102.97,17.339,37.751,-97.822
3,dist1-vlan60.snfc21.pbi.net,216.102.187.130,18.049,37.751,-97.822
4,bb1-10g2-0.snfcca.sbcglobal.net,216.102.176.224,34.846,37.751,-97.822
5,ex2-p10-0.eqsjca.sbcglobal.net,151.164.191.67,21.226,32.9722,-96.7376
6,151.164.251.26,151.164.251.26,20.150,32.9722,-96.7376
7,ge-7-3-0-45.sjc-64cb-1b.ntwk.msn.net,207.46.45.35,19.306,47.6801,-122.1206
8,ge-5-0-0-0.bay-64c-1b.ntwk.msn.net,207.46.37.182,20.823,29.4241,-98.4936
9,ten9-1.bay-76c-1c.ntwk.msn.net,207.46.40.118,21.260,47.6801,-122.1206
10,ten9-3-903.bay-76c-1a.ntwk.msn.net,207.46.44.21,19.734,47.6801,-122.1206
11,po5.bay-6nf-mcs-2a.ntwk.msn.net,64.4.62.66,25.047,47.6801,-122.1206
12,*,*,*,,
13,po5.bay-6nf-mcs-2a.ntwk.msn.net,64.4.62.66,*,47.6801,-122.1206
14,*,*,*,,
15,po5.bay-6nf-mcs-2a.ntwk.msn.net,64.4.62.66,*,47.6801,-122.1206
16,*,*,*,,
17,po5.bay-6nf-mcs-2a.ntwk.msn.net,64.4.62.66,30.541,47.6801,-122.1206
18,*,*,po5.bay-6nf-mcs-2a.ntwk.msn.net,,
19,*,*,*,,
20,*,*,po5.bay-6nf-mcs-2a.ntwk.msn.net,,
21,*,*,*,,
22,po5.bay-6nf-mcs-2a.ntwk.msn.net,64.4.62.66,20.189,47.6801,-122.1206
23,po5.bay-6nf-mcs-2a.ntwk.msn.net,64.4.62.66,*,47.6801,-122.1206
24,*,*,*,,
25,*,*,*,,
26,*,*,po5.bay-6nf-mcs-2a.ntwk.msn.net,,
27,*,*,*,,
28,po5.bay-6nf-mcs-2a.ntwk.msn.net,64.4.62.66,21.155,47.6801,-122.1206
29,po5.bay-6nf-mcs-2a.ntwk.msn.net,64.4.62.66,20.801,47.6801,-122.1206
30,po5.bay-6nf-mcs-2a.ntwk.msn.net,64.4.62.66,*,47.6801,-122.1206
