1,adsl-63-205-183-126.dsl.snfc21.pacbell.net,63.205.183.126,0.607,37.751,-97.822
2,adsl-67-119-102-97.dsl.snfc21.pacbell.net,67.119.102.97,19.105,37.751,-97.822
3,dist1-vlan60.snfc21.pbi.net,216.102.187.130,25.382,37.751,-97.822
4,bb1-10g2-0.snfcca.sbcglobal.net,216.102.176.224,21.383,37.751,-97.822
5,151.164.95.242,151.164.95.242,23.470,32.9722,-96.7376
6,asn10310-yahoo-10g.eqsjca.sbcglobal.net,151.164.248.58,24.190,32.9722,-96.7376
7,g-0-0-0-p161.msr1.sp1.yahoo.com,216.115.107.59,24.765,37.4249,-122.0074
8,te-8-1.bas-a1.sp1.yahoo.com,209.131.32.17,25.818,37.4249,-122.0074
9,*,*,*,,
10,*,*,*,,
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
