1,adsl-63-205-183-126.dsl.snfc21.pacbell.net,63.205.183.126,0.594,37.751,-97.822
2,adsl-67-119-102-97.dsl.snfc21.pacbell.net,67.119.102.97,19.603,37.751,-97.822
3,dist2-vlan50.snfc21.pbi.net,206.171.134.131,18.894,37.751,-97.822
4,bb2-10g2-0.snfcca.sbcglobal.net,216.102.176.226,73.706,37.751,-97.822
5,ex2-p10-0.eqsjca.sbcglobal.net,151.164.191.67,24.478,32.9722,-96.7376
6,151.164.251.26,151.164.251.26,20.393,32.9722,-96.7376
7,ge-7-3-0-57.sjc-64cb-1b.ntwk.msn.net,207.46.37.201,20.134,47.6801,-122.1206
8,ge-7-1-0-0.by2-64c-1b.ntwk.msn.net,207.46.33.22,20.129,47.6801,-122.1206
9,ten9-4.by2-76c-1b.ntwk.msn.net,207.46.45.29,23.875,47.6801,-122.1206
10,*,*,*,,
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
