1,adsl-63-205-183-126.dsl.snfc21.pacbell.net,63.205.183.126,0.598,37.751,-97.822
2,adsl-67-119-102-97.dsl.snfc21.pacbell.net,67.119.102.97,18.342,37.751,-97.822
3,dist1-vlan50.snfc21.pbi.net,206.171.134.130,18.740,37.751,-97.822
4,bb1-10g2-0.snfcca.sbcglobal.net,216.102.176.224,19.399,37.751,-97.822
5,151.164.95.246,151.164.95.246,20.390,32.9722,-96.7376
6,gar7.sffca.ip.att.net,12.122.79.97,26.139,37.751,-97.822
7,tbr1.sffca.ip.att.net,12.122.85.134,36.232,37.751,-97.822
8,tbr1.la2ca.ip.att.net,12.122.10.26,38.625,37.751,-97.822
9,gar3.lsrca.ip.att.net,12.122.104.17,35.795,37.751,-97.822
10,12.116.103.10,12.116.103.10,209.738,37.751,-97.822
11,202.96.12.153,202.96.12.153,214.738,39.9289,116.3883
12,202.96.12.154,202.96.12.154,213.662,39.9289,116.3883
13,61.148.3.34,61.148.3.34,213.497,39.9289,116.3883
14,202.106.43.66,202.106.43.66,214.069,39.9289,116.3883
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
