1,adsl-63-205-183-126.dsl.snfc21.pacbell.net,63.205.183.126,0.605,37.751,-97.822
2,adsl-67-119-102-97.dsl.snfc21.pacbell.net,67.119.102.97,20.373,37.751,-97.822
3,dist2-vlan60.snfc21.pbi.net,216.102.187.131,18.758,37.751,-97.822
4,bb2-10g2-0.snfcca.sbcglobal.net,216.102.176.226,18.202,37.751,-97.822
5,ex2-p9-0.eqlaca.sbcglobal.net,151.164.40.162,39.666,32.9722,-96.7376
6,asn4134-chinatelecom.eqlaca.sbcglobal.net,151.164.250.190,34.147,32.9722,-96.7376
7,202.97.49.157,202.97.49.157,36.222,34.7725,113.7266
8,202.97.51.113,202.97.51.113,*,34.7725,113.7266
9,202.97.33.33,202.97.33.33,206.395,34.7725,113.7266
10,61.152.86.21,61.152.86.21,215.074,31.0456,121.3997
11,61.152.87.158,61.152.87.158,213.516,31.0456,121.3997
12,222.72.243.246,222.72.243.246,204.484,31.0456,121.3997
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
