1,router7301,201.219.64.1,0.725,-37.15,-56.8833
2,201.219.64.254,201.219.64.254,1.617,-37.15,-56.8833
3,200.3.91.153,200.3.91.153,212.796,-34.6033,-58.3817
4,mun01rt-pos1-5-2.tasf.telecom.net.ar,200.3.32.65,141.602,-34.6033,-58.3817
5,82.37.3.200.telecom.net.ar,200.3.37.82,150.757,-30.95,-58.8
6,ae0-107.mia11.ip.tiscali.net,213.200.84.41,221.077,48.4167,8.6833
7,so-4-0-0.was11.ip.tiscali.net,89.149.186.46,244.946,53.3472,-6.2439
8,carpathia-gw158-1.ip.tiscali.net,213.200.66.66,239.859,51.2993,9.491
