1,net84-253-128-001,84.253.128.1,0.383,41.9,12.4833
2,89-97-241-241.ip19.fastwebnet.it,89.97.241.241,0.567,41.8919,12.5113
3,81-208-53-197.ip.fastwebnet.it,81.208.53.197,10.620,41.8919,12.5113
4,89.97.200.149,89.97.200.149,24.114,41.9507,12.075
5,89.97.200.149,89.97.200.149,24.104,41.9507,12.075
6,ge-6-17.car1.Milan1.Level3.net,213.242.65.21,11.494,51.4964,-0.1224
7,ae-4-4.ebr2.Paris1.Level3.net,4.69.133.134,31.856,37.751,-97.822
8,ae-5.ebr2.Washington1.Level3.net,4.69.132.113,110.145,37.751,-97.822
9,ae-62-62.csw1.Washington1.Level3.net,4.69.134.146,120.323,37.751,-97.822
10,ae-64-64.ebr4.Washington1.Level3.net,4.69.134.177,108.980,37.751,-97.822
11,ae-4.ebr3.LosAngeles1.Level3.net,4.69.132.81,201.257,37.751,-97.822
12,ae-68.ebr1.LosAngeles1.Level3.net,4.69.135.9,193.887,37.751,-97.822
13,ae-23-52.car3.LosAngeles1.Level3.net,4.68.102.46,193.570,37.751,-97.822
14,ve201.lax.myspace.com,4.71.32.22,183.353,37.5297,-122.0402
15,vl341.cs1.lax1.myspace.com,204.16.35.133,183.311,34.0995,-118.4143
16,vl3551.cs1.els2.myspace.com,216.178.35.73,183.798,34.538,-118.4032
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,vl3551.cs1.els2.myspace.com,,
22,*,*,vl3551.cs1.els2.myspace.com,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
31,*,*,*,,
32,*,*,*,,
33,*,*,*,,
34,*,*,*,,
35,*,*,*,,
36,*,*,*,,
37,*,*,*,,
38,*,*,*,,
39,*,*,*,,
40,*,*,*,,
41,*,*,*,,
42,*,*,*,,
43,*,*,*,,
44,*,*,*,,
45,*,*,*,,
46,*,*,*,,
47,*,*,*,,
48,*,*,*,,
49,*,*,*,,
50,*,*,*,,
51,*,*,*,,
52,*,*,*,,
53,*,*,*,,
54,*,*,*,,
55,*,*,*,,
56,*,*,*,,
57,*,*,*,,
58,*,*,*,,
59,*,*,*,,
60,*,*,*,,
61,*,*,*,,
62,*,*,*,,
63,*,*,*,,
64,*,*,*,,
