1,net84-253-128-001,84.253.128.1,0.383,41.9,12.4833
2,89-97-241-241.ip19.fastwebnet.it,89.97.241.241,0.989,41.8919,12.5113
3,81-208-53-197.ip.fastwebnet.it,81.208.53.197,10.650,41.8919,12.5113
4,89.97.200.149,89.97.200.149,24.757,41.9507,12.075
5,89.97.200.149,89.97.200.149,24.081,41.9507,12.075
6,so-4-1-0-dcr2.fra.cw.net,208.175.236.57,23.877,37.751,-97.822
7,so-4-0-0-dcr1.amd.cw.net,195.2.10.149,49.986,47,8
8,as0-dcr2.amd.cw.net,195.2.10.154,42.655,47,8
9,so-7-0-0-dcr1.ash.cw.net,195.2.10.249,127.366,47,8
10,microsoft.ash.cw.net,195.2.6.74,129.169,47,8
11,ge-7-3-0-55.ash-64cb-1b.ntwk.msn.net,207.46.41.61,130.552,47.6801,-122.1206
12,ge-6-2-0-0.pao-64cb-1b.ntwk.msn.net,207.46.33.213,205.313,47.6801,-122.1206
13,ge-0-1-0-0.by2-64c-1b.ntwk.msn.net,207.46.38.13,207.988,47.6801,-122.1206
14,ge-0-0-0-0.by2-64c-1a.ntwk.msn.net,207.46.39.81,204.388,47.6801,-122.1206
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
31,*,*,*,,
32,*,*,*,,
33,*,*,*,,
34,*,*,*,,
35,*,*,*,,
36,*,*,*,,
37,*,*,*,,
38,*,*,*,,
39,*,*,*,,
40,*,*,*,,
41,*,*,*,,
42,*,*,*,,
43,*,*,*,,
44,*,*,*,,
45,*,*,*,,
46,*,*,*,,
47,*,*,*,,
48,*,*,*,,
49,*,*,*,,
50,*,*,*,,
51,*,*,*,,
52,*,*,*,,
53,*,*,*,,
54,*,*,*,,
55,*,*,*,,
56,*,*,*,,
57,*,*,*,,
58,*,*,*,,
59,*,*,*,,
60,*,*,*,,
61,*,*,*,,
62,*,*,*,,
63,*,*,*,,
64,*,*,*,,
